카드종류,신용카드사명,신용카드번호,승인일자,사업자등록번호,거래처명,거래처유형,공급가액,세액,봉사료,합계금액,부가세공제여부,부가세유형,계정과목,품목(적요),수 량,단 가,대표자,업 태,종 목,사업장주소,부서/사원
1,,본인77*,2025/08/03,105-87-65162,쿠팡이츠,,21636,2164,,23800,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,105-87-65162,쿠팡이츠,,20000,2000,,22000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/03,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,-17183,-1719,,-18902,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/04,541-85-00911,(주)지오에너지 세원주유소,,54545,5455,,60000,공제,57,812,"(주)지오에너지 세원주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/04,105-87-65162,쿠팡,,26245,2625,,28870,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/04,105-87-65162,쿠팡이츠,,28181,2819,,31000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/04,815-81-00527,에이블리코퍼레이션,,12727,1273,,14000,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/05,605-92-44550,브릭스영수전문학원,,380000,0,,380000,공제,58,825,"브릭스영수전문학원 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/05,105-87-65162,쿠팡,,5445,545,,5990,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/05,815-81-00527,에이블리코퍼레이션,,2672,268,,2940,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,605-92-44550,브릭스영수전문학원,,105000,0,,105000,공제,58,825,"브릭스영수전문학원 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,105-87-65162,쿠팡,,9000,900,,9900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,220-81-55597,(주)우아한형제들,,24545,2455,,27000,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,815-81-00527,에이블리코퍼레이션,,40909,4091,,45000,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/31,605-81-39783,07월 부산교통지하철 3건,,4727,473,,5200,공제,57,812,"07월 부산교통지하철 3건 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,809-81-01574,씨제이올리브영(주)부산역점,,9545,955,,10500,공제,57,811,"씨제이올리브영(주)부산역점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/08,605-30-88695,대양주유소,,54545,5455,,60000,공제,57,812,"대양주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/08,899-11-01157,다이소 부산초량점,,5454,546,,6000,공제,57,811,"다이소 부산초량점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/08,113-81-44055,(주)카카오,,1636,164,,1800,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,113-85-21083,Apple,,13636,1364,,15000,공제,57,811,"Apple 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,815-81-00527,(주)우아한형제들,,16000,1600,,17600,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡,,12272,1228,,13500,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡,,13090,1310,,14400,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡이츠,,20000,2000,,22000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/10,691-05-00780,세븐일레븐 초량오거리점,,3636,364,,4000,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
